OBJECTID,Type,Name,Longitude,Latitude
36002,Ancient Woodland,KILN GROVE,1.486766445,52.11898644
36003,Ancient Woodland,KILN GROVE,1.384871728,52.5553326
36004,Ancient Woodland,KILN GROVE,0.771846008,52.22743651
36005,Ancient Woodland,kiln hanger,-0.489238493,51.06295199
36006,Ancient Woodland,KILN HILL WOOD,-2.366340477,54.54237734
36007,Ancient Woodland,Kiln Meadow Shaw,0.566030491,51.14978204
36008,Ancient Woodland,KILN QUEACH,1.243222394,51.9644717
36009,Ancient Woodland,kiln rough,-0.239268858,51.1398509
36010,Ancient Woodland,Kiln Wood,0.444874673,50.87669693
36011,Ancient Woodland,Kiln Wood,-0.017524602,51.02014513
36012,Ancient Woodland,Kiln Wood,0.408998487,50.88697685
36013,Ancient Woodland,Kiln Wood,0.073097652,50.96915306
36014,Ancient Woodland,Kiln Wood,0.068310728,50.9280746
36015,Ancient Woodland,Kiln Wood,0.178175018,50.89705371
